NAME_2,year,week,u10_mean,u10_min,u10_max,u10_sd,v10_mean,v10_min,v10_max,v10_sd,lai_hv_mean,lai_hv_min,lai_hv_max,lai_hv_sd,lai_lv_mean,lai_lv_min,lai_lv_max,lai_lv_sd,skt_mean,skt_min,skt_max,skt_sd,sp_mean,sp_min,sp_max,sp_sd,tp_mean,tp_min,tp_max,tp_sd,swvl1_mean,swvl1_min,swvl1_max,swvl1_sd
Al Madinah,2019,29,2.216211213713808,-4.429424334610715,7.907535598557201,2.5198595218702398,-2.2896447381921403,-7.604608102448937,4.371168298566911,2.319572918070657,0,0,0,0,0.384173501232115,0,2.553955078125,0.26325305817245276,333.66947499544705,321.7108066245608,343.04436819328504,4.0153470174266594,91080.87371496891,86721.68506897289,95822.6390396823,1635.5895497702859,1.6456898333753733e-6,0,5.2061816274553974e-5,5.6870469975986135e-6,1.1469520487684526e-5,-2.7755575615628914e-17,0.0022307151408033354,1.00970869862868e-4
Al Madinah,2019,30,3.657293273257513,-3.3884583239010877,8.291128025180376,2.9053361294219733,-0.9321293513337034,-3.8396222001911453,3.5206326232382072,1.3928550775627138,0,0,0,0,0.384173501232115,0,2.553955078125,0.26325305817245276,334.44240336829927,326.7745096205705,345.286865234375,3.3498037440311554,90885.10809671812,86482.91251258909,95691.05416355119,1634.2540091336602,3.4420021260705967e-7,0,6.310523184793054e-6,4.289174742191258e-7,1.6391797144490848e-6,-2.7755575615628914e-17,0.0012191896565351412,3.7672204022196904e-5
Al Madinah,2019,31,6.402603002126296,2.383356445921613,11.165643424685681,1.7289528603231794,-1.9524623011065152,-5.3549802566024685,2.7871431417620776,1.7027915015301647,0,0,0,0,0.384173501232115,0,2.553955078125,0.26325305817245276,331.55430721670064,323.4107640589355,339.71498347340867,2.8084001298356385,91005.79464978947,86704.88699967955,95791.4426252804,1638.1450046927932,1.1268791401397582e-7,0,7.888153980978307e-7,2.761255466500146e-7,-2.7755575615628914e-17,-2.7755575615628914e-17,-2.7755575615628914e-17,0
Al Madinah,2019,32,6.803172860196527,4.909762652035685,9.218174181829566,0.9604538648005958,-1.1372700511973401,-4.063570584429071,2.6821917212742696,1.3236232603403886,0,0,0,0,0.384173501232115,0,2.553955078125,0.26325305817245276,328.17398299016224,322.98306200230826,332.9621738351587,1.8089647216727407,91144.63809758835,86868.06824424336,95904.629615995,1643.2655175645064,7.88815398098822e-7,0,1.577630796199131e-6,5.964993560162677e-7,-2.7755575615628914e-17,-2.7755575615628914e-17,-2.7755575615628914e-17,0
Al Madinah,2019,33,4.19941066979942,-1.621766816668746,7.952356524744914,2.063970677141484,-1.0527208694314723,-3.517355013117059,3.10511863506157,1.047582775869428,0,0,0,0,0.384173501232115,0,2.553955078125,0.26325305817245276,332.8245603649471,320.9394961503472,341.8860461329478,4.128706059931057,91210.98266455639,86854.46980719638,96053.01256141944,1644.355552984553,6.900740080965676e-7,0,8.282561680042835e-5,4.616118201482265e-6,1.8319965190381987e-5,-2.7755575615628914e-17,0.003188649870938115,1.718389449791344e-4
Al Madinah,2019,34,1.1216608453737313,-6.366435361356363,6.964055102305849,2.889007740002682,-0.09586547546476092,-5.16497526858179,4.36063414112018,1.929001198223817,0,0,0,0,0.384173501232115,0,2.553955078125,0.26325305817245276,335.1080407609583,325.37294896988925,341.26031711986946,2.586443148567366,91172.7514151475,86924.86171661605,96018.61651477119,1632.8659915859728,5.9246507584399643e-5,0,0.002762431524143811,2.7424740643160455e-4,0.0018902489865819706,-2.7755575615628914e-17,0.0629892326395611,0.006031246607056948
Al Madinah,2019,35,-2.90471881014008,-7.520200702971733,5.211183380648052,2.4674471815540504,0.3371538443398556,-3.6901932260393595,4.922065717633025,1.7002571282131627,0,0,0,0,0.384173501232115,0,2.553955078125,0.26325305817245276,334.3736023885641,323.58075980237294,342.4647550467775,2.873488317373594,90998.2552051708,86775.67886313003,95693.05393370516,1616.7891356546115,1.2419658562860403e-5,0,9.544666317001724e-4,7.366931680412893e-5,0.0016908517755917618,-2.7755575615628914e-17,0.03268366117711566,0.004190271308191776
Al Madinah,2019,36,3.933352986291838,-0.07843292493850607,7.929572553932827,1.4511197749354443,-0.6439286217745017,-5.083042932884988,4.28611473103404,1.8491495425618052,0,0,0,0,0.384173501232115,0,2.553955078125,0.26325305817245276,334.35714458644435,327.2202963307549,338.7980915380598,2.1978048584055254,91048.98544232137,86696.0880110021,95902.22989181023,1629.839047222345,4.089678701177885e-6,0,4.559353001014066e-4,2.754739664491749e-5,0.0012371069330673653,-2.7755575615628914e-17,0.02456466192590348,0.003647371818256973
Al Madinah,2019,37,2.951821457283142,-4.425315749710174,8.74680744142212,2.711809451706724,0.26626529437843643,-4.510296890966394,4.307183045927504,1.8453127844587887,0,0,0,0,0.384173501232115,0,2.553955078125,0.26325305817245276,333.4424991641063,325.572784391696,340.06582575241794,3.1544383036911237,91251.39244716553,86969.25661403415,96056.61214769658,1636.8330199956495,0,0,0,0,4.3580861593763806e-4,-2.7755575615628914e-17,0.015561415231489989,0.001817940374189245
Al Madinah,2019,38,-2.700808954360068,-7.482849931148641,3.6798017359012025,1.9887833898568945,-0.07401547300132039,-3.389774661817753,3.4726436837586516,1.3016238513588587,0,0,0,0,0.384173501232115,0,2.553955078125,0.26325305817245276,332.8614612436198,325.2065701571632,340.2095987481975,2.622796935240001,91311.96398600875,87043.64806376178,95963.02290449088,1630.5077785913209,8.953668415483698e-7,0,3.802090218838691e-4,1.3088363602671576e-5,1.1488470542211609e-4,-2.7755575615628914e-17,0.00912382589121366,7.17194412528212e-4
Al Madinah,2019,39,-1.539545194358968,-5.38261603153607,4.730105439566603,2.119824227018045,0.8406963931236641,-4.840367157630652,3.8795742843861003,1.553766123492611,0,0,0,0,0.384173501232115,0,2.553955078125,0.26325305817245276,330.0560595365082,320.3436068156382,338.9084079247586,3.6977118074126314,91353.93455103794,87087.24305311828,96033.41481391055,1633.38416735943,2.6314301505187884e-6,0,5.135188241626558e-4,2.264595926104116e-5,2.8702226301030473e-4,-2.7755575615628914e-17,0.017684948864026495,0.0015671357505802153
Al Madinah,2019,40,1.3875547560487087,-3.5968756306739516,8.124170075131145,2.1672801902434182,1.3421653866344831,-2.53923898648905,4.529960968226902,1.3232619806748183,0,0,0,0,0.384173501232115,0,2.553955078125,0.26325305817245276,327.8153434628919,316.6751348415648,335.16126770771143,2.72530980128759,91458.43625994945,87140.43693921383,96249.78994456991,1649.219318381531,7.933563863175089e-5,0,0.0030258958671089825,3.31014542235413e-4,0.0040672075602750084,-2.7755575615628914e-17,0.05970679894888953,0.007703241666803045
Al Madinah,2019,41,-3.4626196813494095,-6.736955017841455,2.1174189505411842,1.5411261676713182,0.12296013735622152,-2.9192489625304066,3.112531560672233,1.151265047770709,0,0,0,0,0.384173501232115,0,2.553955078125,0.26325305817245276,326.76156451300477,319.9068624322324,335.1567465443221,2.4463495941516196,91654.15322749778,87279.62094193003,96398.17288999436,1658.638283811998,3.0369950687780732e-6,0,3.5575574454279127e-4,1.6504897908226057e-5,0.002626880242721505,-2.7755575615628914e-17,0.02462495152430358,0.004226179649392826
Al Madinah,2019,42,-2.3569982695252487,-5.710555808142836,3.600991607354474,2.020525663152559,2.045305358444356,-0.9052741203071188,5.136260252383234,0.9868247255345086,0,0,0,0,0.3841421912999784,0,2.553955078125,0.2632179336233373,323.59428492340317,314.2436531708023,331.6365687294176,2.4645187833726987,91708.45165425121,87323.61588531733,96517.75914520166,1659.2098082749894,2.2537582802795164e-7,0,7.888153980978307e-7,3.5647654787930855e-7,9.249521602729327e-4,-2.7755575615628914e-17,0.019895567472029835,0.0027336457806880713
Al Madinah,2019,43,4.313997766077856,0.18302247782315129,7.727131370651657,1.4200534557657114,3.072779726390888,-1.6672448422873747,5.672331820228024,1.3665447693700392,0,0,0,0,0.3840626761994378,0,2.553838161987567,0.2631329149908261,319.9270445986491,308.300131779236,327.77639942763807,3.2280230501084595,91429.46816086197,87048.0475581005,96334.58019909817,1677.6304430343548,1.0419894377877247e-4,0,0.0025581283360360876,3.0232119903419915e-4,0.00506418887771243,-2.7755575615628914e-17,0.05218399683741157,0.00836404198201046
Al Madinah,2019,44,3.123647951006144,-0.0026108581376254048,6.912137529471748,1.3424903591594763,1.7994647556476124,-1.5798503508774528,5.279056608883375,1.087795234942811,0,0,0,0,0.3839879292487737,0,2.553838161987567,0.263052254558636,323.3786669962996,316.2465285522597,328.65893052122834,2.2145186849929,91584.39915141574,87200.0300898021,96601.34953763754,1682.330057415405,2.2537582802795164e-7,0,7.888153980978307e-7,3.5647654787930855e-7,0.003867516623440009,-2.7755575615628914e-17,0.02055205421016415,0.004388011568107891
Al Madinah,2019,45,0.3276455116013069,-6.159512085456424,4.389466400539986,2.2344305379289358,3.019121137709818,-0.6860075838232972,6.346517896818849,1.3551909556373285,0,0,0,0,0.38391056394991147,0,2.5537212458501344,0.26297054628679273,319.83304532723196,306.6598537016,328.3885649505485,4.5266684275458235,91560.96167549948,87224.0273316497,96429.36930439626,1675.9510259674264,5.478417776162999e-5,0,0.001977560203034988,1.9149794040308133e-4,0.006009403383762318,-2.7755575615628914e-17,0.04157972636326235,0.007070839584383032
Al Madinah,2019,46,1.5027158496904514,-2.4640267212795135,6.314525180302246,2.092049161484639,1.9142464560703227,-1.9321593943737003,6.030883327396408,1.62275908229603,0,0,0,0,0.3838360374917271,0,2.553604329712702,0.2628943293601306,314.65503171729165,306.25747015995285,320.8002443179569,3.1086591291235557,91533.73255617249,87039.64852345384,96470.9645235988,1692.742316567746,8.1765680975542e-5,0,0.00214873314442254,2.1429535734174819e-4,0.01703389131650719,0.0019962555914696534,0.06979525841450465,0.010097226663861314
